,"DVX1990","DVX1991","DVX1992","DVX1993","DVX1994","DVX1995","DVX1996","DVX1997","DVX1998","DVX1999","DVX2000","DVX2001","DVX2002","DVX2003","DVX2004","DVX2005","DVX2006","DVX2007","DVX2008","DVX2009","DVX2010","DVX2011","DVX2012","DVX2013","DVX2014","DVX2015","DVX2016","DVX2017","DVX2018","VA_exp1990","VA_exp1991","VA_exp1992","VA_exp1993","VA_exp1994","VA_exp1995","VA_exp1996","VA_exp1997","VA_exp1998","VA_exp1999","VA_exp2000","VA_exp2001","VA_exp2002","VA_exp2003","VA_exp2004","VA_exp2005","VA_exp2006","VA_exp2007","VA_exp2008","VA_exp2009","VA_exp2010","VA_exp2011","VA_exp2012","VA_exp2013","VA_exp2014","VA_exp2015","VA_exp2016","VA_exp2017","VA_exp2018","FVA1990","FVA1991","FVA1992","FVA1993","FVA1994","FVA1995","FVA1996","FVA1997","FVA1998","FVA1999","FVA2000","FVA2001","FVA2002","FVA2003","FVA2004","FVA2005","FVA2006","FVA2007","FVA2008","FVA2009","FVA2010","FVA2011","FVA2012","FVA2013","FVA2014","FVA2015","FVA2016","FVA2017","FVA2018","GVC1990","GVC1991","GVC1992","GVC1993","GVC1994","GVC1995","GVC1996","GVC1997","GVC1998","GVC1999","GVC2000","GVC2001","GVC2002","GVC2003","GVC2004","GVC2005","GVC2006","GVC2007","GVC2008","GVC2009","GVC2010","GVC2011","GVC2012","GVC2013","GVC2014","GVC2015","GVC2016","GVC2017","GVC2018","DVA1990","DVA1991","DVA1992","DVA1993","DVA1994","DVA1995","DVA1996","DVA1997","DVA1998","DVA1999","DVA2000","DVA2001","DVA2002","DVA2003","DVA2004","DVA2005","DVA2006","DVA2007","DVA2008","DVA2009","DVA2010","DVA2011","DVA2012","DVA2013","DVA2014","DVA2015","DVA2016","DVA2017","DVA2018",
"Malta","1.153754e+05","1.254473e+05","1.582959e+05","1.471620e+05","1.676274e+05","1.965342e+05","2.101924e+05","2.084941e+05","2.276453e+05","2.383216e+05","2.654864e+05","2.567997e+05","2.776610e+05","3.568993e+05","4.360772e+05","4.843066e+05","6.095555e+05","7.709297e+05","9.558600e+05","7.718158e+05","9.201218e+05","1.048216e+06","9.242489e+05","1.073569e+06","1.216438e+06","1.118269e+06","1.229031e+06","1.252516e+06","1.281448e+06","6.020280e+05","6.609846e+05","8.217108e+05","7.786308e+05","8.692535e+05","9.906160e+05","1.016449e+06","1.020597e+06","1.069552e+06","1.123913e+06","1.262343e+06","1.161295e+06","1.264075e+06","1.536759e+06","1.798006e+06","1.942388e+06","2.392195e+06","2.909607e+06","3.380339e+06","2.793904e+06","3.373561e+06","3.711241e+06","3.285065e+06","3.864351e+06","4.271215e+06","4.040917e+06","4.185335e+06","4.310338e+06","4.439694e+06","2.389006e+05","2.667490e+05","3.399437e+05","3.301529e+05","3.740041e+05","4.368810e+05","4.450825e+05","4.382785e+05","4.499568e+05","4.791641e+05","5.711589e+05","4.944404e+05","5.284887e+05","6.461420e+05","7.647565e+05","8.240940e+05","1.058387e+06","1.274689e+06","1.424329e+06","1.123885e+06","1.434175e+06","1.573764e+06","1.298602e+06","1.634570e+06","1.729716e+06","1.620892e+06","1.606376e+06","1.674034e+06","1.737794e+06","3.542760e+05","3.921963e+05","4.982396e+05","4.773148e+05","5.416314e+05","6.334152e+05","6.552749e+05","6.467726e+05","6.776021e+05","7.174857e+05","8.366454e+05","7.512402e+05","8.061497e+05","1.003041e+06","1.200834e+06","1.308401e+06","1.667942e+06","2.045618e+06","2.380189e+06","1.895701e+06","2.354297e+06","2.621980e+06","2.222851e+06","2.708139e+06","2.946153e+06","2.739160e+06","2.835407e+06","2.926550e+06","3.019242e+06","3.631274e+05","3.942356e+05","4.817671e+05","4.484780e+05","4.952495e+05","5.537349e+05","5.713667e+05","5.823181e+05","6.195952e+05","6.447487e+05","6.911843e+05","6.668541e+05","7.355858e+05","8.906168e+05","1.033250e+06","1.118294e+06","1.333808e+06","1.634918e+06","1.956009e+06","1.670019e+06","1.939385e+06","2.137478e+06","1.986463e+06","2.229782e+06","2.541499e+06","2.420025e+06","2.578959e+06","2.636304e+06","2.701899e+06",
"Mauritania","6.621038e+04","6.609495e+04","7.048708e+04","6.427917e+04","6.950521e+04","8.403708e+04","8.911124e+04","9.428346e+04","9.167645e+04","8.848892e+04","9.140326e+04","9.413864e+04","9.637759e+04","1.017461e+05","1.358342e+05","1.687219e+05","3.065558e+05","3.601631e+05","4.338416e+05","3.205751e+05","4.699195e+05","5.934879e+05","5.835353e+05","6.694764e+05","6.951488e+05","6.503428e+05","6.586602e+05","7.035982e+05","7.381511e+05","2.377304e+05","2.255497e+05","2.381106e+05","2.158612e+05","2.181255e+05","2.661110e+05","2.674368e+05","2.638200e+05","2.515246e+05","2.396617e+05","2.424232e+05","2.539027e+05","2.577298e+05","2.794043e+05","3.695546e+05","4.586770e+05","7.469990e+05","8.192865e+05","9.745439e+05","7.500290e+05","1.123936e+06","1.406962e+06","1.398405e+06","1.551202e+06","1.628229e+06","1.545919e+06","1.506060e+06","1.618331e+06","1.869228e+06","3.185230e+04","3.022664e+04","3.426158e+04","3.224239e+04","3.157978e+04","4.034912e+04","4.226363e+04","3.792209e+04","3.423236e+04","3.265900e+04","3.149423e+04","3.684842e+04","3.659648e+04","4.388121e+04","6.743675e+04","8.998990e+04","1.143496e+05","1.353938e+05","1.847543e+05","1.370212e+05","2.007280e+05","2.832813e+05","2.737405e+05","2.841643e+05","2.952461e+05","2.471613e+05","2.453623e+05","2.581926e+05","2.960755e+05","9.806268e+04","9.632159e+04","1.047487e+05","9.652156e+04","1.010850e+05","1.243862e+05","1.313749e+05","1.322056e+05","1.259088e+05","1.211479e+05","1.228975e+05","1.309871e+05","1.329741e+05","1.456273e+05","2.032709e+05","2.587118e+05","4.209054e+05","4.955570e+05","6.185959e+05","4.575963e+05","6.706475e+05","8.767692e+05","8.572758e+05","9.536407e+05","9.903950e+05","8.975041e+05","9.040225e+05","9.617907e+05","1.034227e+06","2.058781e+05","1.953231e+05","2.038490e+05","1.836188e+05","1.865458e+05","2.257619e+05","2.251732e+05","2.258979e+05","2.172922e+05","2.070027e+05","2.109290e+05","2.170543e+05","2.211334e+05","2.355231e+05","3.021179e+05","3.686871e+05","6.326494e+05","6.838926e+05","7.897896e+05","6.130079e+05","9.232077e+05","1.123681e+06","1.124664e+06","1.267038e+06","1.332983e+06","1.298757e+06","1.260698e+06","1.360138e+06","1.573152e+06",
"Mauritius","8.791700e+04","9.097919e+04","1.062421e+05","9.964470e+04","1.091326e+05","1.385278e+05","1.984398e+05","1.825875e+05","1.875758e+05","1.937734e+05","2.218948e+05","2.305018e+05","2.271507e+05","2.623982e+05","3.089613e+05","4.379664e+05","3.833742e+05","4.590968e+05","5.624403e+05","4.466642e+05","6.123115e+05","6.397169e+05","6.260557e+05","6.514000e+05","7.364317e+05","6.252936e+05","6.614078e+05","6.886820e+05","7.135154e+05","6.791595e+05","6.963557e+05","7.850640e+05","7.449984e+05","7.971048e+05","9.573259e+05","1.192986e+06","1.115864e+06","1.099548e+06","1.132061e+06","1.219179e+06","1.253841e+06","1.245915e+06","1.440776e+06","1.649760e+06","2.383674e+06","1.994443e+06","2.326569e+06","2.709985e+06","2.267073e+06","3.013049e+06","3.141881e+06","3.112761e+06","3.213033e+06","3.622805e+06","3.265982e+06","3.230404e+06","3.275001e+06","3.431748e+06","2.568909e+05","2.529299e+05","2.814016e+05","2.652615e+05","2.816470e+05","3.289246e+05","3.820333e+05","3.541809e+05","3.350493e+05","3.443959e+05","3.457617e+05","3.627315e+05","3.628290e+05","4.314211e+05","5.134574e+05","8.589044e+05","7.121304e+05","8.294099e+05","9.348052e+05","7.510044e+05","1.000462e+06","1.139186e+06","1.118916e+06","1.146226e+06","1.233299e+06","1.083499e+06","1.073849e+06","1.084871e+06","1.137956e+06","3.448079e+05","3.439090e+05","3.876436e+05","3.649062e+05","3.907796e+05","4.674524e+05","5.804731e+05","5.367683e+05","5.226251e+05","5.381693e+05","5.676565e+05","5.932333e+05","5.899797e+05","6.938193e+05","8.224187e+05","1.296871e+06","1.095505e+06","1.288507e+06","1.497246e+06","1.197669e+06","1.612774e+06","1.778902e+06","1.744971e+06","1.797626e+06","1.969731e+06","1.708793e+06","1.735257e+06","1.773553e+06","1.851471e+06","4.222686e+05","4.434258e+05","5.036624e+05","4.797369e+05","5.154578e+05","6.284013e+05","8.109529e+05","7.616836e+05","7.644990e+05","7.876654e+05","8.734178e+05","8.911099e+05","8.830860e+05","1.009355e+06","1.136303e+06","1.524769e+06","1.282313e+06","1.497159e+06","1.775180e+06","1.516069e+06","2.012587e+06","2.002695e+06","1.993846e+06","2.066806e+06","2.389506e+06","2.182483e+06","2.156555e+06","2.190130e+06","2.293792e+06",
"Mexico","4.108310e+06","5.299784e+06","6.116265e+06","6.700136e+06","7.866197e+06","8.803738e+06","9.956667e+06","1.077244e+07","1.111811e+07","1.244449e+07","1.500753e+07","1.490430e+07","1.542823e+07","1.642504e+07","2.029298e+07","2.362197e+07","3.015278e+07","3.510486e+07","4.072039e+07","2.852303e+07","3.755264e+07","4.521895e+07","4.492456e+07","4.594144e+07","4.969860e+07","4.178639e+07","4.264067e+07","4.399084e+07","4.504217e+07","3.341509e+07","4.977463e+07","5.713842e+07","6.365452e+07","7.385500e+07","8.187548e+07","9.374021e+07","1.066007e+08","1.191086e+08","1.330951e+08","1.544345e+08","1.546335e+08","1.595346e+08","1.646676e+08","1.947256e+08","2.213905e+08","2.653721e+08","2.919767e+08","3.165894e+08","2.411919e+08","3.056943e+08","3.439009e+08","3.463388e+08","3.544827e+08","3.833443e+08","3.429222e+08","3.471049e+08","3.710090e+08","3.939867e+08","7.849954e+06","1.228752e+07","1.477937e+07","1.571968e+07","2.023462e+07","2.700253e+07","3.161240e+07","3.374528e+07","4.035955e+07","4.364442e+07","5.261952e+07","4.699031e+07","4.772803e+07","5.191521e+07","6.025436e+07","6.716023e+07","7.869427e+07","8.730073e+07","9.389527e+07","7.566365e+07","9.878883e+07","1.100263e+08","1.096383e+08","1.111062e+08","1.176784e+08","1.039408e+08","1.052384e+08","1.127993e+08","1.206565e+08","1.195826e+07","1.758731e+07","2.089563e+07","2.241982e+07","2.810082e+07","3.580627e+07","4.156906e+07","4.451772e+07","5.147766e+07","5.608891e+07","6.762705e+07","6.189461e+07","6.315625e+07","6.834025e+07","8.054735e+07","9.078220e+07","1.088471e+08","1.224056e+08","1.346157e+08","1.041867e+08","1.363415e+08","1.552453e+08","1.545629e+08","1.570476e+08","1.673770e+08","1.457271e+08","1.478790e+08","1.567901e+08","1.656986e+08","2.556514e+07","3.748711e+07","4.235905e+07","4.793484e+07","5.362038e+07","5.487295e+07","6.212781e+07","7.285541e+07","7.874908e+07","8.945065e+07","1.018150e+08","1.076432e+08","1.118066e+08","1.127524e+08","1.344712e+08","1.542302e+08","1.866778e+08","2.046759e+08","2.226941e+08","1.655283e+08","2.069055e+08","2.338745e+08","2.367005e+08","2.433765e+08","2.656659e+08","2.389814e+08","2.418665e+08","2.582097e+08","2.733302e+08",
"Monaco","1.406271e+04","1.164466e+04","1.438088e+04","1.297569e+04","1.281663e+04","1.437862e+04","1.716269e+04","1.736009e+04","1.744114e+04","1.744206e+04","1.772535e+04","1.858421e+04","1.915982e+04","2.478361e+04","3.171767e+04","3.801150e+04","4.456728e+04","6.037831e+04","7.325067e+04","5.091876e+04","7.484656e+04","7.564409e+04","7.235131e+04","7.979483e+04","8.526207e+04","6.958470e+04","7.149939e+04","7.452152e+04","7.795320e+04","6.534702e+04","6.109883e+04","6.178789e+04","5.452594e+04","4.937367e+04","5.793186e+04","5.266123e+04","5.398585e+04","4.913727e+04","4.797657e+04","4.821707e+04","4.891708e+04","5.160616e+04","6.506350e+04","8.458865e+04","9.289752e+04","1.153428e+05","1.549579e+05","1.936558e+05","1.485700e+05","2.471768e+05","2.712241e+05","2.647101e+05","2.910438e+05","3.115125e+05","2.723462e+05","2.723475e+05","2.723248e+05","2.723055e+05","4.971911e+03","4.853378e+03","4.905048e+03","4.308071e+03","4.156012e+03","4.812003e+03","4.689005e+03","4.696160e+03","4.085561e+03","4.100513e+03","4.019199e+03","4.523177e+03","4.663968e+03","5.840055e+03","7.751493e+03","9.136316e+03","1.171509e+04","1.549139e+04","2.005771e+04","1.502955e+04","2.418588e+04","3.049590e+04","2.935926e+04","3.113789e+04","3.437927e+04","2.718554e+04","2.717716e+04","2.704674e+04","2.690016e+04","1.903462e+04","1.649804e+04","1.928593e+04","1.728376e+04","1.697264e+04","1.919063e+04","2.185169e+04","2.205625e+04","2.152670e+04","2.154258e+04","2.174455e+04","2.310739e+04","2.382379e+04","3.062366e+04","3.946916e+04","4.714781e+04","5.628237e+04","7.586971e+04","9.330839e+04","6.594831e+04","9.903244e+04","1.061400e+05","1.017106e+05","1.109327e+05","1.196413e+05","9.677025e+04","9.867654e+04","1.015683e+05","1.048534e+05","6.037511e+04","5.624546e+04","5.688284e+04","5.021786e+04","4.521766e+04","5.311985e+04","4.797223e+04","4.928969e+04","4.505171e+04","4.387606e+04","4.419787e+04","4.439390e+04","4.694219e+04","5.922345e+04","7.683716e+04","8.376120e+04","1.036278e+05","1.394665e+05","1.735981e+05","1.335404e+05","2.229909e+05","2.407282e+05","2.353508e+05","2.599059e+05","2.771332e+05","2.451607e+05","2.451703e+05","2.452781e+05","2.454054e+05",
"Mongolia","1.706340e+04","2.055348e+04","2.082362e+04","3.067927e+04","3.293157e+04","3.895492e+04","4.875020e+04","3.574833e+04","9.056115e+04","8.649399e+04","1.180273e+05","9.318481e+04","1.003658e+05","1.271383e+05","1.628967e+05","2.064527e+05","2.895333e+05","3.682101e+05","4.480294e+05","3.176860e+05","6.774744e+05","7.757231e+05","7.381637e+05","7.601712e+05","8.390240e+05","8.043152e+05","7.831112e+05","8.087603e+05","8.471086e+05","8.496590e+04","1.169223e+05","1.173877e+05","1.785827e+05","1.717119e+05","1.978640e+05","2.017692e+05","2.817766e+05","3.118057e+05","3.153499e+05","3.908965e+05","3.448371e+05","3.744153e+05","4.311398e+05","5.487301e+05","6.626846e+05","8.907115e+05","1.089010e+06","1.291641e+06","1.040207e+06","1.962618e+06","2.392550e+06","2.337586e+06","2.451682e+06","2.666303e+06","2.612999e+06","2.767029e+06","2.843763e+06","2.405069e+06","1.316150e+04","2.450654e+04","1.605310e+04","3.116942e+04","2.690267e+04","2.971307e+04","3.252746e+04","4.416719e+04","5.400906e+04","5.593178e+04","7.028649e+04","6.362777e+04","6.954326e+04","8.536109e+04","1.159504e+05","1.275006e+05","1.626244e+05","2.108524e+05","2.535335e+05","1.881402e+05","3.077079e+05","4.777274e+05","4.428833e+05","4.276259e+05","4.525754e+05","3.878038e+05","4.183290e+05","4.348448e+05","3.645235e+05","3.022490e+04","4.506002e+04","3.687672e+04","6.184869e+04","5.983424e+04","6.866799e+04","8.127766e+04","7.991552e+04","1.445702e+05","1.424258e+05","1.883138e+05","1.568126e+05","1.699090e+05","2.124994e+05","2.788471e+05","3.339533e+05","4.521577e+05","5.790625e+05","7.015629e+05","5.058262e+05","9.851823e+05","1.253451e+06","1.181047e+06","1.187797e+06","1.291599e+06","1.192119e+06","1.201440e+06","1.243605e+06","1.211632e+06","7.180440e+04","9.241575e+04","1.013346e+05","1.474133e+05","1.448092e+05","1.681509e+05","1.692418e+05","2.376095e+05","2.577966e+05","2.594182e+05","3.206100e+05","2.812094e+05","3.048721e+05","3.457787e+05","4.327797e+05","5.351840e+05","7.280871e+05","8.781579e+05","1.038107e+06","8.520671e+05","1.654910e+06","1.914822e+06","1.894702e+06","2.024056e+06","2.213728e+06","2.225196e+06","2.348700e+06","2.408918e+06","2.040546e+06",
"Montenegro","1.662823e+04","1.276202e+04","1.402227e+04","9.459818e+03","9.117138e+03","1.142546e+04","1.142160e+04","1.140944e+04","1.117455e+04","1.099952e+04","1.297169e+04","1.417302e+04","1.415310e+04","1.760318e+04","2.606022e+04","3.226418e+04","3.476991e+04","4.269285e+04","4.975162e+04","3.639290e+04","6.145752e+04","4.856696e+04","4.675073e+04","4.925502e+04","5.426276e+04","4.626432e+04","4.773144e+04","4.921363e+04","5.108387e+04","8.227038e+04","6.911089e+04","6.472202e+04","4.393126e+04","3.864343e+04","4.873590e+04","4.186419e+04","4.142067e+04","3.622962e+04","3.473229e+04","3.676347e+04","4.546725e+04","4.632831e+04","5.821946e+04","8.995024e+04","1.026955e+05","1.222557e+05","1.534547e+05","1.925961e+05","1.650253e+05","3.170941e+05","3.380500e+05","3.333669e+05","3.430724e+05","3.738517e+05","3.198125e+05","3.308185e+05","3.441485e+05","3.573625e+05","1.199485e+04","1.159962e+04","1.221063e+04","1.012454e+04","9.644722e+03","1.149091e+04","1.118390e+04","1.004416e+04","8.027445e+03","7.933882e+03","6.158730e+03","1.150940e+04","1.167432e+04","1.634883e+04","2.724427e+04","3.246167e+04","4.236730e+04","5.532751e+04","7.479875e+04","6.915238e+04","1.417083e+05","1.928527e+05","1.901045e+05","1.913980e+05","2.063500e+05","1.667755e+05","1.717983e+05","1.792464e+05","1.865332e+05","2.862308e+04","2.436164e+04","2.623290e+04","1.958436e+04","1.876186e+04","2.291636e+04","2.260550e+04","2.145361e+04","1.920200e+04","1.893340e+04","1.913042e+04","2.568241e+04","2.582742e+04","3.395202e+04","5.330449e+04","6.472585e+04","7.713721e+04","9.802036e+04","1.245504e+05","1.055453e+05","2.031658e+05","2.414197e+05","2.368552e+05","2.406530e+05","2.606128e+05","2.130398e+05","2.195298e+05","2.284600e+05","2.376171e+05","7.027553e+04","5.751127e+04","5.251139e+04","3.380672e+04","2.899870e+04","3.724500e+04","3.068029e+04","3.137650e+04","2.820218e+04","2.679840e+04","3.060474e+04","3.395785e+04","3.465398e+04","4.187063e+04","6.270597e+04","7.023381e+04","7.988838e+04","9.812717e+04","1.177974e+05","9.587292e+04","1.753858e+05","1.451972e+05","1.432623e+05","1.516744e+05","1.675016e+05","1.530370e+05","1.590202e+05","1.649021e+05","1.708293e+05",
"Morocco","8.215119e+05","8.730239e+05","1.018578e+06","9.876297e+05","1.133436e+06","1.426487e+06","1.685792e+06","1.707493e+06","2.358847e+06","2.519775e+06","2.702365e+06","2.835647e+06","3.006655e+06","3.559592e+06","4.331124e+06","4.876889e+06","5.981333e+06","6.899576e+06","7.980823e+06","6.001301e+06","8.138386e+06","8.335016e+06","8.273301e+06","8.487652e+06","8.523077e+06","7.717474e+06","7.990363e+06","8.323618e+06","8.780543e+06","3.445878e+06","3.508985e+06","3.912649e+06","3.598746e+06","3.949369e+06","4.766671e+06","5.220646e+06","5.215558e+06","6.125927e+06","6.425312e+06","6.614213e+06","6.836866e+06","7.329297e+06","8.803846e+06","1.063774e+07","1.185262e+07","1.409731e+07","1.651755e+07","1.967062e+07","1.565677e+07","2.029981e+07","2.130461e+07","2.122899e+07","2.165497e+07","2.209192e+07","2.052094e+07","2.165906e+07","2.295541e+07","2.417936e+07","6.150939e+05","5.442417e+05","5.173028e+05","3.862114e+05","4.195212e+05","5.532677e+05","5.746113e+05","5.700670e+05","6.367259e+05","6.769166e+05","7.285894e+05","7.601064e+05","8.275567e+05","1.004533e+06","1.283041e+06","1.483059e+06","1.806682e+06","2.239330e+06","2.765647e+06","1.955918e+06","2.715117e+06","3.940196e+06","3.884563e+06","3.859626e+06","4.020849e+06","3.384647e+06","3.551165e+06","3.760137e+06","3.907828e+06","1.436606e+06","1.417266e+06","1.535881e+06","1.373841e+06","1.552957e+06","1.979755e+06","2.260404e+06","2.277560e+06","2.995573e+06","3.196692e+06","3.430954e+06","3.595753e+06","3.834211e+06","4.564125e+06","5.614165e+06","6.359948e+06","7.788015e+06","9.138906e+06","1.074647e+07","7.957219e+06","1.085350e+07","1.227521e+07","1.215786e+07","1.234728e+07","1.254393e+07","1.110212e+07","1.154153e+07","1.208375e+07","1.268837e+07","2.830784e+06","2.964743e+06","3.395346e+06","3.212535e+06","3.529848e+06","4.213404e+06","4.646035e+06","4.645491e+06","5.489201e+06","5.748395e+06","5.885624e+06","6.076759e+06","6.501740e+06","7.799313e+06","9.354698e+06","1.036956e+07","1.229063e+07","1.427822e+07","1.690497e+07","1.370085e+07","1.758469e+07","1.736441e+07","1.734443e+07","1.779534e+07","1.807108e+07","1.713630e+07","1.810790e+07","1.919527e+07","2.027153e+07",
"Mozambique","2.103951e+04","2.336892e+04","2.326456e+04","2.173259e+04","2.551780e+04","3.034779e+04","4.242132e+04","5.764462e+04","6.823069e+04","7.010844e+04","9.435091e+04","9.940742e+04","1.062183e+05","1.134784e+05","1.394605e+05","1.662514e+05","1.990795e+05","2.452798e+05","2.988393e+05","2.308596e+05","2.837145e+05","2.821779e+05","2.752512e+05","2.876149e+05","2.980785e+05","2.596885e+05","2.818034e+05","2.872879e+05","3.009179e+05","9.191903e+04","1.045916e+05","1.035301e+05","9.549073e+04","1.127030e+05","1.328755e+05","1.662505e+05","2.176957e+05","2.496597e+05","2.603706e+05","3.147992e+05","3.235939e+05","3.426078e+05","3.728738e+05","4.458704e+05","5.147177e+05","5.947974e+05","7.049050e+05","8.036144e+05","6.737989e+05","8.307162e+05","8.131062e+05","8.038816e+05","8.218159e+05","8.587039e+05","7.869211e+05","7.493243e+05","8.292151e+05","9.579169e+05","1.267580e+04","1.480703e+04","1.898911e+04","1.645568e+04","1.893812e+04","2.386661e+04","2.493281e+04","2.761183e+04","2.785062e+04","3.333518e+04","3.904741e+04","3.711265e+04","4.600008e+04","5.172386e+04","5.727029e+04","6.296067e+04","6.983752e+04","8.337360e+04","8.981230e+04","7.229466e+04","9.335441e+04","8.359611e+04","8.087588e+04","7.997622e+04","8.507131e+04","6.863395e+04","6.162648e+04","6.918973e+04","7.931279e+04","3.371531e+04","3.817595e+04","4.225367e+04","3.818827e+04","4.445592e+04","5.421440e+04","6.735413e+04","8.525645e+04","9.608132e+04","1.034436e+05","1.333983e+05","1.365201e+05","1.522184e+05","1.652022e+05","1.967307e+05","2.292121e+05","2.689170e+05","3.286534e+05","3.886516e+05","3.031543e+05","3.770690e+05","3.657740e+05","3.561271e+05","3.675911e+05","3.831498e+05","3.283225e+05","3.434299e+05","3.564776e+05","3.802307e+05","7.924324e+04","8.978461e+04","8.454097e+04","7.903505e+04","9.376486e+04","1.090089e+05","1.413177e+05","1.900839e+05","2.218091e+05","2.270354e+05","2.757518e+05","2.864812e+05","2.966077e+05","3.211500e+05","3.886002e+05","4.517570e+05","5.249599e+05","6.215314e+05","7.138021e+05","6.015043e+05","7.373618e+05","7.295101e+05","7.230058e+05","7.418397e+05","7.736325e+05","7.182871e+05","6.876978e+05","7.600254e+05","8.786041e+05",
"Myanmar","1.486243e+05","1.509422e+05","1.754908e+05","1.760467e+05","2.094685e+05","2.429907e+05","3.930052e+05","4.903687e+05","3.761636e+05","4.107824e+05","7.862638e+05","6.961630e+05","7.550282e+05","5.191826e+05","5.726268e+05","7.591107e+05","9.283043e+05","1.073262e+06","1.343013e+06","1.209290e+06","1.631430e+06","2.200878e+06","2.156624e+06","2.233275e+06","2.251251e+06","2.075132e+06","2.244046e+06","2.352461e+06","2.462838e+06","6.142199e+05","6.235805e+05","7.106446e+05","7.266574e+05","8.274741e+05","8.762796e+05","1.217870e+06","1.417583e+06","9.877739e+05","1.110471e+06","1.816640e+06","1.663218e+06","1.890450e+06","1.208301e+06","1.269197e+06","1.512188e+06","1.851439e+06","2.168696e+06","2.662645e+06","2.690096e+06","3.641746e+06","4.771503e+06","4.820239e+06","5.155068e+06","5.336656e+06","5.162645e+06","5.491227e+06","5.510323e+06","6.355214e+06","4.952837e+04","3.484190e+04","2.099057e+04","1.347933e+04","1.237545e+04","1.240757e+04","1.431504e+04","1.560676e+04","1.175914e+04","1.067103e+04","1.220912e+04","1.117493e+04","9.466902e+03","6.623969e+03","5.867674e+03","6.061338e+03","5.923746e+03","5.221512e+03","5.196994e+03","4.109534e+03","6.046634e+03","7.144019e+03","8.202427e+03","9.118546e+03","1.009980e+04","8.006257e+03","7.886716e+03","7.916051e+03","9.048327e+03","1.981527e+05","1.857841e+05","1.964814e+05","1.895260e+05","2.218439e+05","2.553983e+05","4.073202e+05","5.059755e+05","3.879227e+05","4.214534e+05","7.984729e+05","7.073380e+05","7.644951e+05","5.258066e+05","5.784945e+05","7.651721e+05","9.342280e+05","1.078483e+06","1.348210e+06","1.213400e+06","1.637476e+06","2.208022e+06","2.164826e+06","2.242393e+06","2.261351e+06","2.083138e+06","2.251933e+06","2.360377e+06","2.471887e+06","5.646916e+05","5.887386e+05","6.896541e+05","7.131781e+05","8.150986e+05","8.638721e+05","1.203555e+06","1.401977e+06","9.760148e+05","1.099800e+06","1.804431e+06","1.652044e+06","1.880983e+06","1.201677e+06","1.263329e+06","1.506126e+06","1.845515e+06","2.163475e+06","2.657448e+06","2.685987e+06","3.635700e+06","4.764359e+06","4.812036e+06","5.145949e+06","5.326556e+06","5.154638e+06","5.483340e+06","5.502407e+06","6.346166e+06",
"Namibia","7.250028e+04","7.445163e+04","8.796483e+04","8.472534e+04","9.947712e+04","1.113582e+05","1.177835e+05","1.145195e+05","1.089736e+05","1.142496e+05","1.178536e+05","1.005493e+05","1.013497e+05","1.375579e+05","1.842026e+05","2.166853e+05","2.683397e+05","3.172653e+05","3.550398e+05","2.679363e+05","4.203248e+05","4.404347e+05","4.325733e+05","4.126044e+05","4.196827e+05","3.680017e+05","3.876713e+05","3.818615e+05","3.990906e+05","4.510885e+05","4.752011e+05","5.642323e+05","5.141237e+05","5.584606e+05","5.695822e+05","5.857190e+05","5.838936e+05","5.384306e+05","5.422822e+05","5.223658e+05","4.796940e+05","4.915683e+05","6.722266e+05","8.177328e+05","9.441759e+05","1.115183e+06","1.411133e+06","1.589835e+06","1.415985e+06","1.909245e+06","2.016678e+06","2.012465e+06","1.979263e+06","2.069842e+06","1.908554e+06","2.170098e+06","2.526810e+06","2.749517e+06","1.299944e+05","1.433915e+05","1.832562e+05","1.559920e+05","1.582424e+05","1.695578e+05","1.786444e+05","1.714342e+05","1.545270e+05","1.543813e+05","1.336568e+05","1.264230e+05","1.317547e+05","1.895867e+05","2.107946e+05","2.405954e+05","2.797434e+05","3.852152e+05","4.332407e+05","3.873262e+05","5.222613e+05","5.808805e+05","5.719991e+05","5.787831e+05","6.168272e+05","5.181503e+05","5.714946e+05","6.885068e+05","7.447662e+05","2.024947e+05","2.178432e+05","2.712210e+05","2.407173e+05","2.577195e+05","2.809159e+05","2.964278e+05","2.859537e+05","2.635006e+05","2.686309e+05","2.515105e+05","2.269724e+05","2.331044e+05","3.271446e+05","3.949972e+05","4.572807e+05","5.480831e+05","7.024806e+05","7.882805e+05","6.552626e+05","9.425861e+05","1.021315e+06","1.004572e+06","9.913875e+05","1.036510e+06","8.861520e+05","9.591659e+05","1.070368e+06","1.143857e+06","3.210942e+05","3.318095e+05","3.809761e+05","3.581317e+05","4.002182e+05","4.000245e+05","4.070746e+05","4.124595e+05","3.839035e+05","3.879009e+05","3.887089e+05","3.532709e+05","3.598136e+05","4.826398e+05","6.069381e+05","7.035805e+05","8.354399e+05","1.025917e+06","1.156594e+06","1.028658e+06","1.386984e+06","1.435798e+06","1.440466e+06","1.400480e+06","1.453015e+06","1.390403e+06","1.598604e+06","1.838303e+06","2.004751e+06",
