municipio,departamento,lat,lon,poblacion,riesgo
Quimbaya,Quindio,4.6132381,-75.8023799136515,34945,BAJO
Salento,Quindio,4.6837442,-75.5541489,7111,BAJO
Apía,Risaralda,5.1065543,-75.9425022,18976,MEDIO
Belén De Umbría,Risaralda,5.1894267,-75.8697146858765,27721,MEDIO
Dosquebradas,Risaralda,4.8397374,-75.672696893989,198874,MEDIO
Guática,Risaralda,5.32952845,-75.8177234572482,15306,MEDIO
La Celia,Risaralda,4.98080235,-76.0027901904157,8598,BAJO
La Virginia,Risaralda,4.8995993,-75.8825661,32039,MEDIO
Marsella,Risaralda,4.9583904,-75.7541132727681,23299,MEDIO
Mistrató,Risaralda,5.3871563,-76.0000013,16177,MEDIO
Pereira,Risaralda,4.8142912,-75.6946451,469644,BAJO
Pueblo Rico,Risaralda,5.2216215,-76.0301985,13283,MEDIO
Quinchía,Risaralda,5.3264086,-75.7083123321039,33754,MEDIO
Santa Rosa De Cabal,Risaralda,4.8653719,-75.6203626,72228,MEDIO
Santuario,Risaralda,5.0732065,-75.9624682,15715,BAJO
Aguada,Santander,6.1796776,-73.5277269812528,1855,BAJO
Aratoca,Santander,6.7343173,-73.0173345036149,8312,MEDIO
Barichara,Santander,6.64967285,-73.2264517346614,7215,SIN RIESGO
Barrancabermeja,Santander,7.02691215,-73.75919805297,191768,SIN RIESGO
Bucaramanga,Santander,7.1114611,-73.1172869,527985,SIN RIESGO
California,Santander,2.9067539,-76.4732713,1984,SIN RIESGO
Capitanejo,Santander,6.5149284,-72.6743387624081,5593,MEDIO
Carcasí,Santander,6.658389,-72.5667056758176,5039,BAJO
Cepitá,Santander,6.74590095,-72.9294288166832,1865,BAJO
Cerrito,Santander,6.8435992,-72.6939627,5708,MEDIO
Charalá,Santander,6.1869866,-73.1834347888072,10540,SIN RIESGO
Charta,Santander,7.25253105,-72.9765964163482,2670,MEDIO
Chima,Santander,6.3418537,-73.3728984,3087,BAJO
Chipatá,Santander,6.07416435,-73.6301297828965,5088,SIN RIESGO
Cimitarra,Santander,6.42419845,-74.0920370496232,44733,MEDIO
Confines,Santander,6.3623424,-73.249841261314,2705,BAJO
Contratación,Santander,6.30365295,-73.5215840157677,3491,MEDIO
Coromoro,Santander,6.24050595,-72.9917307037051,7558,MEDIO
Curití,Santander,6.61280515,-73.0168786933379,11899,BAJO
El Carmen De Chucurí,Santander,6.6986924,-73.5115695,20099,SIN RIESGO
El Guacamayo,Santander,6.2452658,-73.4975606,2005,MEDIO
El Playón,Santander,7.470891,-73.2033093,11776,ALTO
Encino,Santander,6.1377564,-73.0990188,2497,MEDIO
Enciso,Santander,6.6498446,-72.6817354814915,3323,MEDIO
Florián,Santander,5.7869132,-73.9702357040568,6301,ALTO
Floridablanca,Santander,7.0625358,-73.0858228,265452,SIN RIESGO
Galán,Santander,6.67423275,-73.3211114215782,2311,BAJO
Gambita,Santander,5.91628015,-73.3158972254147,5044,MEDIO
Girón,Santander,7.04975065,-73.2906385846527,180305,SIN RIESGO
Guaca,Santander,6.9351737,-72.8058804042012,6395,BAJO
Guapotá,Santander,6.32074375,-73.3174942370605,2139,SIN RIESGO
Guavatá,Santander,5.94801435,-73.7153208406455,3679,BAJO
Güepsa,Santander,6.0357259,-73.5663239325774,3849,BAJO
Hato,Santander,6.5621066,-73.3647381143844,2345,SIN RIESGO
Jesús María,Santander,5.84962975,-73.8306805305799,3137,MEDIO
Jordán,Santander,6.71270705,-73.0924537916357,1103,MEDIO
La Belleza,Santander,5.8588609,-73.9659766,8587,MEDIO
Landázuri,Santander,6.3619739,-73.7773019855766,15374,SIN RIESGO
Lebrija,Santander,7.1150765,-73.2148951,38560,BAJO
Los Santos,Santander,6.7559026,-73.1018206,12185,SIN RIESGO
Macaravita,Santander,6.5123058,-72.5866346104091,2378,MEDIO
Málaga,Santander,6.699661,-72.7324563,18382,SIN RIESGO
Matanza,Santander,7.2799805,-73.0578702952521,5297,SIN RIESGO
Mogotes,Santander,6.50244055,-72.9767919997313,10880,SIN RIESGO
Molagavita,Santander,6.63611175,-72.821426090189,5193,MEDIO
Ocamonte,Santander,6.3458934,-73.1220456978097,4775,BAJO
Oiba,Santander,6.23148355,-73.2740310717515,11738,SIN RIESGO
Onzaga,Santander,6.34240675,-72.8337948157147,5054,BAJO
Palmar,Santander,6.52548015,-73.2829254149924,3330,SIN RIESGO
Palmas Del Socorro,Santander,6.4066247,-73.287918,2241,BAJO
Páramo,Santander,6.41444175,-73.1821066006228,7791,BAJO
Piedecuesta,Santander,6.951419,-73.0446439483853,149219,SIN RIESGO
Pinchote,Santander,6.51255155,-73.1777466115737,5201,BAJO
Puente Nacional,Santander,5.8770588,-73.6791439,48202617,BAJO
Puerto Parra,Santander,6.651506,-74.0564489,7548,ALTO
Puerto Wilches,Santander,7.3480175,-73.8979783,31511,ALTO
Sabana De Torres,Santander,7.3939416,-73.4998859,18652,BAJO
San Benito,Santander,6.1265486,-73.5095985,3986,MEDIO
San Gil,Santander,6.5552856,-73.1312353,45445,SIN RIESGO
San Joaquín,Santander,6.427589,-72.8676531,2488,SIN RIESGO
San José De Miranda,Santander,6.6584402,-72.7335517315043,4346,BAJO
San Vicente De Chucurí,Santander,6.8787342,-73.4116765,34640,MEDIO
Santa Helena Del Opón,Santander,6.3387975,-73.616366,4304,ALTO
Simacota,Santander,6.4435088,-73.3374205,7789,SIN RIESGO
Socorro,Santander,6.4670216,-73.2626198,30577,BAJO
Suaita,Santander,6.1257536,-73.3627146624194,10277,MEDIO
